RAND DIM:	COND AVG:	COND MAX:	||A - PLTL^tP^t|| AVG	||A - PLTL^tP^t|| MAX	dx/x[float128]AVG	dx/x[float128]MAX	db/b[float128]AVG	db/b[float128]MAX
22	207601.230214	1717124.38714	9.86330483449e-18	1.12813209319e-17	6.29516016971e-13	6.29516016971e-13	1.53519539485e-16	1.53519539485e-16
23	556808.402125	5225285.95094	1.03849228117e-17	1.21322144378e-17	3.44142776499e-12	3.44142776499e-12	1.67451057163e-16	1.67451057163e-16
24	2635669.27462	24753608.2545	1.1529842372e-17	1.33389642674e-17	3.74756509939e-11	3.74756509939e-11	1.7078872652e-16	1.7078872652e-16
25	61489.698864	314331.765447	1.18816843624e-17	1.61823416912e-17	3.22900489245e-13	3.22900489245e-13	1.55263500454e-16	1.55263500454e-16
26	23972.6425349	105146.697296	1.32061460995e-17	1.51090681932e-17	1.54885234467e-13	1.54885234467e-13	1.65613450156e-16	1.65613450156e-16
27	74044.3145018	449968.527506	1.44801407036e-17	1.73357483665e-17	2.36367008316e-13	2.36367008316e-13	1.51590129121e-16	1.51590129121e-16
28	122541.570773	1096308.63133	1.62622602607e-17	1.94296546581e-17	3.57161711845e-12	3.57161711845e-12	1.86361622454e-16	1.86361622454e-16
29	59028.6305095	490425.560559	1.67009675228e-17	2.20870770316e-17	4.94715758301e-13	4.94715758301e-13	1.78966333242e-16	1.78966333242e-16
30	25338.0813873	55329.855018	1.82437455586e-17	1.95989926642e-17	2.08273451768e-13	2.08273451768e-13	1.78854339157e-16	1.78854339157e-16
31	193447.20195	1170935.10311	1.93358966269e-17	2.23000070341e-17	1.07002977953e-12	1.07002977953e-12	1.67060877519e-16	1.67060877519e-16
32	32507.2007313	76520.1973652	2.05821284528e-17	2.23396587054e-17	3.0699446427e-13	3.0699446427e-13	1.65954493693e-16	1.65954493693e-16
33	13992.2680105	48961.2030728	2.27453407221e-17	2.54281581864e-17	1.33977614184e-13	1.33977614184e-13	1.82081470447e-16	1.82081470447e-16
34	1855652.56483	18156247.1858	2.35105384742e-17	2.55700202836e-17	2.47682332803e-12	2.47682332803e-12	1.73621380652e-16	1.73621380652e-16
35	171932.395299	1107622.01644	2.52859869603e-17	2.96077901692e-17	7.50561551917e-13	7.50561551917e-13	1.67956619166e-16	1.67956619166e-16
36	568569.751061	4088916.93891	2.51327282117e-17	2.8134262982e-17	1.11030760518e-12	1.11030760518e-12	1.93905043985e-16	1.93905043985e-16
37	482162.994924	3300729.67422	2.74003782524e-17	3.14292484431e-17	2.05480495844e-12	2.05480495844e-12	1.81914789347e-16	1.81914789347e-16
38	15053.1406548	65244.4171761	3.09939999562e-17	3.4128966172e-17	1.8724245141e-13	1.8724245141e-13	1.76966863942e-16	1.76966863942e-16
39	421742.158453	3962724.04658	3.1260581654e-17	3.48665002484e-17	3.7196181754e-12	3.7196181754e-12	1.76890444359e-16	1.76890444359e-16
40	17382.0601201	67641.8482239	3.33171953431e-17	3.58423990855e-17	9.85597589657e-14	9.85597589657e-14	1.78771678261e-16	1.78771678261e-16
41	55597.2593864	328649.361998	3.4238263974e-17	4.40635687413e-17	3.12577119863e-13	3.12577119863e-13	1.82657664918e-16	1.82657664918e-16
42	793498.779926	7854973.3984	3.71596004858e-17	4.27247733672e-17	3.48939044964e-13	3.48939044964e-13	1.88263523392e-16	1.88263523392e-16
